,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G PK,G+A PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Matches
23,24,Kepa Arrizabalaga,ESP,GK,Chelsea,24,1994,25,25,2250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
24,25,Christian Atsu,GHA,FWMF,Newcastle Utd,27,1992,18,6,742,0,3,0,0,2,0,0,0,0,0,0.36,0.2,0.2,1,0.03,0.12,0.14,0.03,0.14,Matches
25,26,Pierre Emerick Aubameyang,GAB,FW,Arsenal,30,1989,26,26,2303,17,1,1,1,3,1,0,0,0,0.63,0.66,11.3,10.5,2,0.44,0.08,0.52,0.41,0.49,Matches
26,27,Serge Aurier,CIV,DF,Tottenham,26,1992,24,22,1911,1,4,0,0,3,1,0,0,0,0.05,0.24,0.5,0.5,2.4,0.02,0.11,0.13,0.02,0.13,Matches
27,28,Jordan Ayew,GHA,FWMF,Crystal Palace,27,1991,28,28,2382,8,1,0,0,5,0,0,0,0,0.3,0.34,5.7,5.7,1.7,0.22,0.06,0.28,0.22,0.28,Matches
28,29,Cesar Azpilicueta,ESP,DF,Chelsea,29,1989,27,27,2419,2,3,0,0,0,0,0,0,0,0.07,0.19,2.3,2.3,4.5,0.09,0.17,0.25,0.09,0.25,Matches
29,30,Eric Bailly,CIV,DF,Manchester Utd,25,1994,2,1,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,31,Leighton Baines,ENG,DF,Everton,34,1984,5,3,334,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.01,0.18,0.2,0.01,0.2,Matches
31,32,Fabian Balbuena,PAR,DF,West Ham,27,1991,13,12,1081,1,0,0,0,2,0,0,0,0,0.08,0.08,1.7,1.7,0,0.14,0,0.14,0.14,0.14,Matches
32,33,George Baldock,ENG,DF,Sheffield Utd,26,1993,28,28,2520,2,3,0,0,6,0,0,0,0,0.07,0.18,0.5,0.5,1.8,0.02,0.07,0.09,0.02,0.09,Matches
33,34,Phil Bardsley,SCO,DF,Burnley,34,1985,14,14,1260,0,1,0,0,4,0,0,0,0,0,0.07,0.2,0.2,0.3,0.01,0.02,0.04,0.01,0.04,Matches
34,35,Ross Barkley,ENG,MF,Chelsea,25,1993,13,8,675,0,3,0,0,0,0,0,0,0,0,0.4,1.8,1.8,2.2,0.23,0.29,0.52,0.23,0.52,Matches
